layer,None,Learned,Sinusoidal,ALiBi,Random
0,337.162,11.24,0.008,337.005,341.3333
1,286.432,6.451,0.009,331.348,341.3333
2,79.889,7.643,0.022,288.312,341.3333
3,27.508,8.369,0.109,251.99,341.3333
4,16.932,6.953,0.253,183.511,341.3333
5,17.392,7.082,0.343,121.286,341.3333
6,16.46,8.817,0.402,72.825,341.3333
7,16.528,10.148,0.499,59.335,341.3333
8,17.222,12.036,0.586,54.767,341.3333
9,19.175,13.756,0.756,53.894,341.3333
10,19.922,14.729,0.997,53.987,341.3333
11,20.963,16.309,1.3,52.66,341.3333
12,20.974,18.051,1.865,52.959,341.3333
13,22.285,19.819,2.636,53.989,341.3333
14,23.916,21.167,4.021,55.937,341.3333
15,25.628,22.124,5.896,59.724,341.3333
16,27.35,23.494,8.293,66.659,341.3333
17,27.92,25.595,11.638,72.555,341.3333
18,31.034,28.878,15.989,79.589,341.3333
19,35.419,33.772,21.544,87.239,341.3333
20,42.563,40.353,27.485,98.969,341.3333
21,49.242,47.045,34.823,108.404,341.3333
22,56.445,53.578,41.923,117.68,341.3333
23,64.132,62.477,51.323,132.169,341.3333
24,133.303,128.985,92.1,170.566,341.3333
